Name_of_Vehical,Selling_Price,On_Road_Price,Rating,Transparency_Score,Seller_Score,Health_Score,Pricing_Score,Make,Model,Trim,Year,Exterior_Color,Interior_Color,Fuel_Type,Transmission_Type,Body_Type,Interior_Furnishing,Seating_Capacity,Fuel_Tank_Capacity,Location,Registration_State,Kilometers_Driven,Seller_Type,Number_of_Owners,Engine_Displacement,Fuel_Efficiency
HYUNDAI I10 SPORTZ 1.2 AT 2012,290000,646545,7,6.4,9.5,3.8,8.9,HYUNDAI,I10,SPORTZ,2012,WHITE,BEIGE,PETROL,AUTOMATIC,HATCHBACK,LEATHER,5,35,MUMBAI,MAHARASHTRA,70000,DEALER,SECOND OWNER,1197,18
HYUNDAI I10 MAGNA 1.2 2014,330000,485837,6.6,6.4,9.5,3.8,7,HYUNDAI,I10,MAGNA,2014,GREY,BEIGE,PETROL,MANUAL,HATCHBACK,LEATHER,5,35,MUMBAI,MAHARASHTRA,50000,DEALER,FIRST OWNER,1197,20
HYUNDAI I10 SPORTZ 1.2 AT 2012,282150,646545,6.3,6.1,6.7,4,9.1,HYUNDAI,I10,SPORTZ,2012,WHITE,GREY,PETROL,AUTOMATIC,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,55000,DEALER,FIRST OWNER,1197,18
HYUNDAI I10 MAGNA 2011,294000,533375,6.9,6.9,9.9,4,6.8,HYUNDAI,I10,MAGNA,2011,RED,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,20000,DEALER,SECOND OWNER,1086,19.81
HYUNDAI I10 MAGNA 2011,294100,533375,6.9,6.9,9.9,4,6.8,HYUNDAI,I10,MAGNA,2011,WHITE,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,35000,DEALER,SECOND OWNER,1086,19.81
HYUNDAI I10 MAGNA 1.2 2012,312600,485837,6.9,6.9,9.9,4,6.8,HYUNDAI,I10,MAGNA,2012,RED,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,57000,DEALER,SECOND OWNER,1197,20
HYUNDAI I10 MAGNA 1.2 2013,290000,485837,6.9,6.4,9.5,3.8,8.2,HYUNDAI,I10,MAGNA,2013,RED,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,80000,DEALER,FIRST OWNER,1197,20
HYUNDAI I10 SPORTZ 1.1 IRDE2 2015,360000,567418,6.9,6.4,9.5,3.8,8.5,HYUNDAI,I10,SPORTZ,2015,GREY,BEIGE,PETROL,MANUAL,HATCHBACK,LEATHERETTE,5,35,MUMBAI,MAHARASHTRA,42000,DEALER,FIRST OWNER,1086,19.81
HYUNDAI I10 MAGNA 2013,262350,533375,6.5,6.1,5.5,7.3,7.3,HYUNDAI,I10,MAGNA,2013,GREY,GREY,DIESEL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,69402,DEALER,FIRST OWNER,1086,19.81
HYUNDAI I10 SPORTZ 1.2 2010,288000,497315,6.9,6.9,9.9,4,7,HYUNDAI,I10,SPORTZ,2010,SILVER,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,72000,DEALER,SECOND OWNER,1197,20
HYUNDAI I10 SPORTZ 1.2 2011,311000,497315,6.8,6.9,9.9,3.8,6.8,HYUNDAI,I10,SPORTZ,2011,BLACK,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,85000,DEALER,SECOND OWNER,1197,20
HYUNDAI I10 SPORTZ 1.2 AT 2011,282150,646545,6.2,6.1,7,4,8.1,HYUNDAI,I10,SPORTZ,2011,SILVER,GREY,PETROL,AUTOMATIC,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,54275,DEALER,SECOND OWNER,1197,17
HYUNDAI I10 SPORTZ 1.2 2011,247500,497315,6.3,6.1,7,4,8.5,HYUNDAI,I10,SPORTZ,2011,GOLDEN,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,37026,DEALER,FIRST OWNER,1197,20
HYUNDAI I10 SPORTZ 1.2 AT 2014,341551,646545,7,6.1,5.5,7.5,9.4,HYUNDAI,I10,SPORTZ,2014,WHITE,GREY,PETROL,AUTOMATIC,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,29000,DEALER,FIRST OWNER,1197,12.8
HYUNDAI I10 ERA 2010,160200,0,6.7,6.9,9.2,4,6.8,HYUNDAI,I10,ERA,2010,SILVER,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,46000,DEALER,SECOND OWNER,1086,20
HYUNDAI I10 MAGNA 2007,164000,533375,8.2,6.9,9.9,7.5,9.1,HYUNDAI,I10,MAGNA,2007,RED,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,6000,DEALER,FIRST OWNER,1086,20
HYUNDAI I10 MAGNA 2007,84150,533375,7.5,6.1,7.7,7.3,9.4,HYUNDAI,I10,MAGNA,2007,YELLOW,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,123000,DEALER,FOURTH OWNER,1086,20
HYUNDAI I10 MAGNA 2009,123750,533375,7.2,6.1,7.7,6,9.9,HYUNDAI,I10,SPORTZ,2012,GREY,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,70000,DEALER,FIRST OWNER,1197,12.8
HYUNDAI I10 SPORTZ 1.2 2012,249000,497315,6.7,5.9,7,4.8,9.9,HYUNDAI,I10,ERA,2009,WHITE,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,62000,DEALER,FIRST OWNER,1086,20
HYUNDAI I10 ERA 2009,153500,0,6.7,6.9,9.2,4,6.8,HYUNDAI,I10,SPORTZ,2009,RED,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,55000,DEALER,SECOND OWNER,1197,20
HYUNDAI I10 SPORTZ 1.2 2009,164200,497315,7.1,6.9,9.2,4,8.6,HYUNDAI,I10,ERA,2008,BLUE,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,50000,DEALER,FIRST OWNER,1086,20
HYUNDAI I10 ERA 2008,143800,0,6.7,6.9,9.2,4,6.8,HYUNDAI,I10,ASTA,2010,WHITE,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,40000,DEALER,FIRST OWNER,1197,20
HYUNDAI I10 ASTA 1.2 2010,250000,597149,7.3,6.9,9.2,4,9.9,HYUNDAI,I10,MAGNA,2010,BLACK,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,60000,DEALER,FIRST OWNER,1197,20
HYUNDAI I10 MAGNA 1.2 2010,183150,485837,6.3,6.1,6.7,4,9.1,HYUNDAI,I10,MAGNA,2008,RED,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,53000,DEALER,SECOND OWNER,1086,20
HYUNDAI I10 MAGNA 2008,244600,533375,6.9,6.9,9.9,4,6.8,HYUNDAI,I10,SPORTZ,2011,RED,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,70377,DEALER,FIRST OWNER,1197,20
HYUNDAI I10 SPORTZ 1.2 2011,222750,497315,6.3,6.1,6.7,4,8.9,HYUNDAI,I10,SPORTZ,2011,RED,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,50000,DEALER,SECOND OWNER,1197,20
HYUNDAI I10 MAGNA 2010,159500,533375,6.4,4,7,5.6,9.4,HYUNDAI,I10,SPORTZ,2009,GREY,BLACK,PETROL,MANUAL,NA,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,10836,NA,FIRST OWNER,1197,18
HYUNDAI I10 SPORTZ 1.2 2011,312900,497315,7.2,6.9,9.9,4,8.2,HYUNDAI,I10,SPORTZ,2010,GOLDEN,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,68000,DEALER,FIRST OWNER,1197,20
HYUNDAI I10 SPORTZ 1.2 AT KAPPA2 2009,165500,626833,6.4,4,7,6,9.1,HYUNDAI,I10,MAGNA,2008,RED,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,700,DEALER,FIRST OWNER,1086,20
HYUNDAI I10 SPORTZ 1.2 2010,232650,497315,6.7,6.1,8.5,4,8.9,HYUNDAI,I10,SPORTZ,2010,RED,GREY,PETROL,AUTOMATIC,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,70000,DEALER,SECOND OWNER,1197,12.8
HYUNDAI I10 MAGNA 2008,177000,533375,7.9,6.9,9.9,7.5,7.4,HYUNDAI,I10,MAGNA,2008,WHITE,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,60000,DEALER,THIRD OWNER,1197,20
HYUNDAI I10 SPORTZ 1.2 AT 2010,247500,646545,6.7,6.1,8.5,4,8.9,HYUNDAI,I10,ASTA,2016,GREY,GREY,PETROL,AUTOMATIC,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,29743,DEALER,FIRST OWNER,1197,12.8
HYUNDAI I10 MAGNA 1.2 KAPPA2 2008,123750,539173,7.6,6.1,7.9,7.5,9.4,HYUNDAI,I10,SPORTZ,2012,WHITE,GREY,PETROL,AUTOMATIC,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,46660,DEALER,FIRST OWNER,1197,18
HYUNDAI I10 ASTA 1.2 AT 2016,509850,609556,7.3,6.1,7,7.5,9.4,HYUNDAI,I10,MAGNA,2012,GREY,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,48000,DEALER,SECOND OWNER,1197,20
HYUNDAI I10 SPORTZ 1.2 AT 2012,311850,646545,7.1,6.1,7,7.5,8.1,HYUNDAI,I10,MAGNA,2014,MAROON,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,32852,DEALER,FIRST OWNER,1086,19.81
HYUNDAI I10 MAGNA 1.2 KAPPA2 2012,257400,539173,6.9,6.1,5.5,7.5,8.9,HYUNDAI,I10,MAGNA,2012,GREY,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,48000,DEALER,SECOND OWNER,1197,20
HYUNDAI I10 MAGNA 1.1 IRDE2 2014,292050,533202,7.3,6.1,7,7.5,9.1,HYUNDAI,I10,MAGNA,2014,MAROON,GREY,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,32852,DEALER,FIRST OWNER,1086,19.81
HYUNDAI I10 MAGNA 1.2 KAPPA2 2012,257400,539173,6.9,6.1,5.5,7.5,8.9,HYUNDAI,I10,SPORTZ,2011,RED,GREY,PETROL,AUTOMATIC,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,11437,DEALER,FIRST OWNER,1197,17
HYUNDAI I10 MAGNA 1.1 IRDE2 2014,292050,533202,7.3,6.1,7,7.5,9.1,HYUNDAI,I10,ERA,2008,RED,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,56000,CERTIFIED PRE-OWNED,FIRST OWNER,1086,20
HYUNDAI I10 SPORTZ 1.2 AT 2011,262350,646545,6.8,6.1,5.4,7.5,8.9,HYUNDAI,I10,MAGNA,2010,BLUE,BEIGE,PETROL,MANUAL,HATCHBACK,LEATHER,5,35,MUMBAI,MAHARASHTRA,45000,DEALER,THIRD OWNER,1086,20
HYUNDAI I10 ERA 2008,209100,0,8.2,6.9,9.9,8.5,7.6,HYUNDAI,I10,SPORTZ,2012,RED,GREY,PETROL,AUTOMATIC,HATCHBACK,FABRIC,NA,NA,MUMBAI,MAHARASHTRA,34905,NA,FIRST OWNER,1197,12.8
HYUNDAI I10 MAGNA 2010,169000,533375,7.8,5.6,8.5,8.5,9.4,HYUNDAI,I10,MAGNA,2011,SILVER,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,34000,DEALER,FIRST OWNER,1197,20
HYUNDAI I10 SPORTZ 1.2 AT 2012,280000,646545,7.6,6.3,7,7.5,9.1,HYUNDAI,I10,MAGNA,2012,GREY,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,78998,DEALER,FIRST OWNER,1086,19.81
HYUNDAI I10 SPORTZ 1.2 2010,165000,497315,7.4,4.3,10,8,9.1,HYUNDAI,I10,SPORTZ,2010,RED,BEIGE,PETROL,MANUAL,HATCHBACK,FABRIC,5,35,MUMBAI,MAHARASHTRA,25000,DEALER,FIRST OWNER,1197,20
